title,pub_date,url,source_name,doc_type,province,province_code,category_code,category_label,category_subtype,term,batch_no,issue_no,issue_no_range,total_amount_yi,bid_date,base_date_type,payment_date,listing_date,natural_day_gap,workday_gap,doc_no,bond_name,extraction_method,warnings
2026年河南省2026年河南省政府再融资专项债券（五期）30年再融资债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68399.jhtml,fxqgg,announcement,河南省,41,,,,,,,,3.03,,招标日,,,,,,,text,未能从债券名称识别品种(一般新增/专项新增/再融资); 未能识别发行期限; 未找到招标日期
2026年河南省2026年河南省政府专项债券（十四期）30年新增专项债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68431.jhtml,fxqgg,announcement,河南省,41,,,,,,,,3.03,,招标日,,,,,,,text,未能从债券名称识别品种(一般新增/专项新增/再融资); 未能识别发行期限; 未找到招标日期
2026年河南省2026年河南省政府专项债券（十六期）30年新增专项债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68326.jhtml,fxqgg,announcement,河南省,41,,,,,,,,3.03,,招标日,,,,,,,text,未能从债券名称识别品种(一般新增/专项新增/再融资); 未能识别发行期限; 未找到招标日期
2026年河南省2026年河南省棚改专项债券（六期）10年新增专项债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68329.jhtml,fxqgg,announcement,河南省,41,,,,,,,,3.03,,招标日,,,,,,,text,未能从债券名称识别品种(一般新增/专项新增/再融资); 未能识别发行期限; 未找到招标日期
2026年宁夏回族自治区再融资一般债券（一期）发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68295.jhtml,fxqgg,announcement,宁夏回族自治区,64,refinancing,再融资债券,一般,,,,,38.96,,,2026-03-26,,,,,,ocr,未能从表格解析分期明细，本行为整篇公告级别的合并记录; 未找到招标日期; 本行来自OCR识别，数值型字段准确性需人工核对
2026年河北省2026年第五批再融资债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68298.jhtml,fxqgg,announcement,河北省,13,refinancing,再融资债券,,,5.0,,,247.39,2026-03-25,招标日,,,7.0,5.0,,,ocr,未能从表格解析分期明细，本行为整篇公告级别的合并记录; 本行来自OCR识别，数值型字段准确性需人工核对
2026年新疆维吾尔自治区2026年自治区第三批地方政府债券新增一般债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68299.jhtml,fxqgg,announcement,新疆维吾尔自治区,65,new_general,一般新增债券,,,3.0,,,,2026-03-25,招标日,2026-03-25,,7.0,5.0,,,ocr,未能从表格解析分期明细，本行为整篇公告级别的合并记录; 本行来自OCR识别，数值型字段准确性需人工核对
2026年新疆维吾尔自治区2026年自治区第三批地方政府债券新增专项债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68301.jhtml,fxqgg,announcement,新疆维吾尔自治区,65,new_special,专项新增债券,,,3.0,,,,2026-03-25,招标日,2026-03-25,,7.0,5.0,,,ocr,未能从表格解析分期明细，本行为整篇公告级别的合并记录; 本行来自OCR识别，数值型字段准确性需人工核对
2026年新疆维吾尔自治区2026年自治区第三批地方政府债券再融资债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68302.jhtml,fxqgg,announcement,新疆维吾尔自治区,65,refinancing,再融资债券,,,3.0,,,,2026-03-25,招标日,2026-03-25,,7.0,5.0,,,ocr,未能从表格解析分期明细，本行为整篇公告级别的合并记录; 本行来自OCR识别，数值型字段准确性需人工核对
2026年河南省2026年河南省棚改专项债券（四期）5年新增专项债券发行公开,2026-03-18,https://www.celma.org.cn/fxqgg/68327.jhtml,fxqgg,announcement,河南省,41,,,,,,,,3.03,,招标日,,,,,,,text,未能从债券名称识别品种(一般新增/专项新增/再融资); 未能识别发行期限; 未找到招标日期
2026年海南省海南2026年3月发行债券再融资债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68312.jhtml,fxqgg,announcement,海南省,46,refinancing,再融资债券,一般,10Y,,2.0,,43.93,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府再融资一般债券（二期）,text,
2026年海南省海南2026年3月发行债券新增一般债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68311.jhtml,fxqgg,announcement,海南省,46,new_special,专项新增债券,,30Y,,2.0,,24.7,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省收费公路专项债券（二期）-2026年海南省政府专项债券（十期）,text,
2026年海南省海南2026年3月发行债券新增一般债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68311.jhtml,fxqgg,announcement,海南省,46,new_special,专项新增债券,,30Y,,9.0,,11.16,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府专项债券（九期）,text,
2026年海南省海南2026年3月发行债券新增一般债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68311.jhtml,fxqgg,announcement,海南省,46,new_special,专项新增债券,,20Y,,8.0,,40.08,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府专项债券（八期）,text,
2026年海南省海南2026年3月发行债券新增一般债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68311.jhtml,fxqgg,announcement,海南省,46,refinancing,再融资债券,一般,10Y,,2.0,,43.93,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府再融资一般债券（二期）,text,
2026年海南省海南2026年3月发行债券新增一般债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68311.jhtml,fxqgg,announcement,海南省,46,new_general,一般新增债券,,7Y,,3.0,,30.0,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府一般债券（三期）,text,
2026年海南省海南2026年3月发行债券再融资债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68312.jhtml,fxqgg,announcement,海南省,46,refinancing,再融资债券,一般,7Y,,1.0,,39.0,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府再融资一般债券（一期）,text,
2026年海南省海南2026年3月发行债券再融资债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68312.jhtml,fxqgg,announcement,海南省,46,new_special,专项新增债券,,30Y,,2.0,,24.7,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省收费公路专项债券（二期）-2026年海南省政府专项债券（十期）,text,
2026年海南省海南2026年3月发行债券新增一般债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68311.jhtml,fxqgg,announcement,海南省,46,refinancing,再融资债券,一般,7Y,,1.0,,39.0,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府再融资一般债券（一期）,text,
2026年海南省海南2026年3月发行债券再融资债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68312.jhtml,fxqgg,announcement,海南省,46,new_special,专项新增债券,,30Y,,9.0,,11.16,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府专项债券（九期）,text,
2026年海南省海南2026年3月发行债券再融资债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68312.jhtml,fxqgg,announcement,海南省,46,new_special,专项新增债券,,20Y,,8.0,,40.08,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府专项债券（八期）,text,
2026年海南省海南2026年3月发行债券再融资债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68312.jhtml,fxqgg,announcement,海南省,46,new_special,专项新增债券,,10Y,,7.0,,7.38,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府专项债券（七期）,text,
2026年海南省海南2026年3月发行债券再融资债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68312.jhtml,fxqgg,announcement,海南省,46,new_general,一般新增债券,,7Y,,3.0,,30.0,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府一般债券（三期）,text,
2026年海南省海南2026年3月发行债券再融资债券发行公开,2026-03-19,https://www.celma.org.cn/fxqgg/68312.jhtml,fxqgg,announcement,海南省,46,new_general,一般新增债券,,5Y,,2.0,,24.0,2026-03-26,招标日,2026-03-27,,7.0,5.0,琼财债〔2026〕165 号,2026年海南省政府一般债券（二期）,text,
